cluster,SSE
10,10.634072487505216
15,6.655061798221893
20,5.169323592526961
25,4.144531587568314
30,3.4549403980010833
35,2.9214144018738457
40,2.7816267635330036
45,2.4065472349715167
50,2.316247337049117
