cluster,SSE
10,6.420298889166971
15,4.508952957976768
20,3.6552741930042805
25,2.9557686085680976
30,2.245455362545423
35,2.1392927305931337
40,2.13032923760891
45,1.5366549298794046
50,1.6389284371650255
