cluster,SSE
10,6.636882643541855
15,3.165688212815592
20,2.5631810602495984
25,2.117199252506109
30,1.8764164118549795
35,1.8231872118087111
40,1.6000249316102706
45,1.490851482211654
50,1.3875044061059876
